"country","year","emissions_type","emissions"
"Australia",1980,"Other",0
"Australia",1981,"Cement",2.954
"Australia",1981,"Coal",104.819
"Australia",1981,"Flaring",0
"Australia",1981,"Gas",20.361
"Australia",1981,"Oil",85.675
"Australia",1981,"Other",0
"Australia",1982,"Cement",2.823
"Australia",1982,"Coal",107.585
"Australia",1982,"Flaring",0
"Australia",1982,"Gas",22.53
"Australia",1982,"Oil",85.063
"Australia",1982,"Other",0
"Australia",1983,"Cement",2.377
"Australia",1983,"Coal",105.149
"Australia",1983,"Flaring",0.44
"Australia",1983,"Gas",22.79
"Australia",1983,"Oil",76.889
"Australia",1983,"Other",0
"Australia",1984,"Cement",2.683
"Australia",1984,"Coal",109.101
"Australia",1984,"Flaring",0.275
"Australia",1984,"Gas",24.05
"Australia",1984,"Oil",81.407
"Australia",1984,"Other",0
"Australia",1985,"Cement",2.891
"Australia",1985,"Coal",119.256
"Australia",1985,"Flaring",0.352
"Australia",1985,"Gas",30.147
"Australia",1985,"Oil",71.91
"Australia",1985,"Other",0
"Australia",1986,"Cement",2.908
"Australia",1986,"Coal",118.775
"Australia",1986,"Flaring",0.319
"Australia",1986,"Gas",28.092
"Australia",1986,"Oil",73.947
"Australia",1986,"Other",0
"Australia",1987,"Cement",2.878
"Australia",1987,"Coal",126.142
"Australia",1987,"Flaring",0.256
"Australia",1987,"Gas",28.972
"Australia",1987,"Oil",76.352
"Australia",1987,"Other",0
"Australia",1988,"Cement",3.136
"Australia",1988,"Coal",130.359
"Australia",1988,"Flaring",0.348
"Australia",1988,"Gas",29.686
"Australia",1988,"Oil",77.208
"Australia",1988,"Other",0
"Australia",1989,"Cement",3.38
"Australia",1989,"Coal",141.141
"Australia",1989,"Flaring",0.535
"Australia",1989,"Gas",30.345
"Australia",1989,"Oil",81.436
"Australia",1989,"Other",0
"Australia",1990,"Cement",3.463
"Australia",1990,"Coal",141.877
"Australia",1990,"Flaring",7.272
"Australia",1990,"Gas",34.455
"Australia",1990,"Oil",88.777
"Australia",1990,"Other",2.316
"Australia",1991,"Cement",3.183
"Australia",1991,"Coal",146.083
"Australia",1991,"Flaring",7.001
"Australia",1991,"Gas",32.786
"Australia",1991,"Oil",88.177
"Australia",1991,"Other",2.304
"Australia",1992,"Cement",2.923
"Australia",1992,"Coal",150.049
"Australia",1992,"Flaring",7.304
"Australia",1992,"Gas",33.97
"Australia",1992,"Oil",87.849
"Australia",1992,"Other",2.434
"Australia",1993,"Cement",3.005
"Australia",1993,"Coal",150.096
"Australia",1993,"Flaring",7.137
"Australia",1993,"Gas",35.67
"Australia",1993,"Oil",90.318
"Australia",1993,"Other",2.648
"Australia",1994,"Cement",3.484
"Australia",1994,"Coal",151.376
"Australia",1994,"Flaring",6.88
"Australia",1994,"Gas",37.032
"Australia",1994,"Oil",91.854
"Australia",1994,"Other",3.074
"Australia",1995,"Cement",3.358
"Australia",1995,"Coal",155.735
"Australia",1995,"Flaring",7.061
"Australia",1995,"Gas",39.847
"Australia",1995,"Oil",96.068
"Australia",1995,"Other",2.988
"Australia",1996,"Cement",3.244
"Australia",1996,"Coal",160.388
"Australia",1996,"Flaring",6.761
"Australia",1996,"Gas",39.781
"Australia",1996,"Oil",98.664
"Australia",1996,"Other",3.103
"Australia",1997,"Cement",3.185
"Australia",1997,"Coal",167.683
"Australia",1997,"Flaring",6.687
"Australia",1997,"Gas",41.09
"Australia",1997,"Oil",98.381
"Australia",1997,"Other",3.307
"Australia",1998,"Cement",3.475
"Australia",1998,"Coal",177.614
"Australia",1998,"Flaring",6.902
"Australia",1998,"Gas",43.506
"Australia",1998,"Oil",99.142
"Australia",1998,"Other",3.496
"Australia",1999,"Cement",3.52
"Australia",1999,"Coal",183.231
"Australia",1999,"Flaring",7.165
"Australia",1999,"Gas",45.564
"Australia",1999,"Oil",100.809
"Australia",1999,"Other",3.669
"Australia",2000,"Cement",3.621
"Australia",2000,"Coal",185.797
"Australia",2000,"Flaring",7.953
"Australia",2000,"Gas",46.61
"Australia",2000,"Oil",102.65
"Australia",2000,"Other",3.378
"Australia",2001,"Cement",3.541
"Australia",2001,"Coal",190.082
"Australia",2001,"Flaring",8.172
"Australia",2001,"Gas",49.326
"Australia",2001,"Oil",103.174
"Australia",2001,"Other",3.488
"Australia",2002,"Cement",3.488
"Australia",2002,"Coal",191.147
"Australia",2002,"Flaring",8.007
"Australia",2002,"Gas",50.589
"Australia",2002,"Oil",105.452
"Australia",2002,"Other",3.853
"Australia",2003,"Cement",3.584
"Australia",2003,"Coal",195.386
"Australia",2003,"Flaring",7.158
"Australia",2003,"Gas",49.717
"Australia",2003,"Oil",109.673
"Australia",2003,"Other",3.924
"Australia",2004,"Cement",3.555
"Australia",2004,"Coal",202.225
"Australia",2004,"Flaring",6.858
"Australia",2004,"Gas",52.534
"Australia",2004,"Oil",113.759
"Australia",2004,"Other",3.943
"Australia",2005,"Cement",3.664
"Australia",2005,"Coal",200.715
"Australia",2005,"Flaring",6.914
"Australia",2005,"Gas",54.492
"Australia",2005,"Oil",116.499
"Australia",2005,"Other",3.92
"Australia",2006,"Cement",3.888
"Australia",2006,"Coal",204.401
"Australia",2006,"Flaring",7.046
"Australia",2006,"Gas",55.826
"Australia",2006,"Oil",117.392
"Australia",2006,"Other",3.883
"Australia",2007,"Cement",3.972
"Australia",2007,"Coal",203.559
"Australia",2007,"Flaring",7.504
"Australia",2007,"Gas",61.064
"Australia",2007,"Oil",119.464
"Australia",2007,"Other",4.113
"Australia",2008,"Cement",3.863
"Australia",2008,"Coal",204.688
"Australia",2008,"Flaring",7.483
"Australia",2008,"Gas",61.803
"Australia",2008,"Oil",122.288
"Australia",2008,"Other",4.131
"Australia",2009,"Cement",3.829
"Australia",2009,"Coal",206.066
"Australia",2009,"Flaring",7.966
"Australia",2009,"Gas",63.482
"Australia",2009,"Oil",122.364
"Australia",2009,"Other",3.769
"Australia",2010,"Cement",3.549
"Australia",2010,"Coal",200.552
"Australia",2010,"Flaring",8.19
"Australia",2010,"Gas",64.632
"Australia",2010,"Oil",124.551
"Australia",2010,"Other",4.039
"Australia",2011,"Cement",3.496
"Australia",2011,"Coal",192.141
"Australia",2011,"Flaring",7.874
"Australia",2011,"Gas",66.868
"Australia",2011,"Oil",129.801
"Australia",2011,"Other",4.077
"Australia",2012,"Cement",3.518
"Australia",2012,"Coal",189.154
"Australia",2012,"Flaring",8.287
"Australia",2012,"Gas",68.09
"Australia",2012,"Oil",133.681
"Australia",2012,"Other",3.848
"Australia",2013,"Cement",3.294
"Australia",2013,"Coal",176.363
"Australia",2013,"Flaring",8.846
"Australia",2013,"Gas",69.87
"Australia",2013,"Oil",137.311
"Australia",2013,"Other",3.602
"Australia",2014,"Cement",3.138
"Australia",2014,"Coal",168.146
"Australia",2014,"Flaring",9.273
"Australia",2014,"Gas",70.772
"Australia",2014,"Oil",137.684
"Australia",2014,"Other",4.037
"Australia",2015,"Cement",3.076
"Australia",2015,"Coal",174.205
"Australia",2015,"Flaring",10.828
"Australia",2015,"Gas",71.501
"Australia",2015,"Oil",137.711
"Australia",2015,"Other",4.058
"Australia",2016,"Cement",2.931
"Australia",2016,"Coal",179.562
"Australia",2016,"Flaring",12.44
"Australia",2016,"Gas",73.936
"Australia",2016,"Oil",137.44
"Australia",2016,"Other",3.946
"Australia",2017,"Cement",3.019
"Australia",2017,"Coal",176.932
"Australia",2017,"Flaring",14.861
"Australia",2017,"Gas",75.431
"Australia",2017,"Oil",139.481
"Australia",2017,"Other",3.93
"Australia",2018,"Cement",2.942
"Australia",2018,"Coal",169.394
"Australia",2018,"Flaring",16.926
"Australia",2018,"Gas",78.468
"Australia",2018,"Oil",143.691
"Australia",2018,"Other",3.93
"Australia",2019,"Cement",3.04
"Australia",2019,"Coal",164.947
"Australia",2019,"Flaring",20.199
"Australia",2019,"Gas",80.661
"Australia",2019,"Oil",143.064
"Australia",2019,"Other",3.899
"Australia",2020,"Cement",2.82
"Australia",2020,"Coal",156.681
"Australia",2020,"Flaring",14.552
"Australia",2020,"Gas",83.48
"Australia",2020,"Oil",135.38
"Australia",2020,"Other",3.773
"Australia",2021,"Cement",2.9
"Australia",2021,"Coal",151.543
"Australia",2021,"Flaring",13.28
"Australia",2021,"Gas",80.159
"Australia",2021,"Oil",134.687
"Australia",2021,"Other",4.037
"Australia",2022,"Cement",2.9
"Australia",2022,"Coal",144.105
"Australia",2022,"Flaring",13.28
"Australia",2022,"Gas",83.499
"Australia",2022,"Oil",144.457
"Australia",2022,"Other",4.037
